timestamp,num,B3 - Colorado Rockies,B3 - Oakland Athletics,SK - Colorado Rockies,SK - Oakland Athletics,PP - Colorado Rockies,PP - Oakland Athletics,WH - Colorado Rockies,WH - Oakland Athletics,EE - Colorado Rockies,EE - Oakland Athletics,FB - Colorado Rockies,FB - Oakland Athletics,VC - Colorado Rockies,VC - Oakland Athletics,LD - Colorado Rockies,LD - Oakland Athletics,UN - Colorado Rockies,UN - Oakland Athletics,SX - Colorado Rockies,SX - Oakland Athletics,FR - Colorado Rockies,FR - Oakland Athletics,KN - Colorado Rockies,KN - Oakland Athletics,BY - Colorado Rockies,BY - Oakland Athletics,OE - Colorado Rockies,OE - Oakland Athletics,S6 - Colorado Rockies,S6 - Oakland Athletics,PUP - Colorado Rockies,PUP - Oakland Athletics,SI - Colorado Rockies,SI - Oakland Athletics,LS - Colorado Rockies,LS - Oakland Athletics,QN - Colorado Rockies,QN - Oakland Athletics,WA - Colorado Rockies,WA - Oakland Athletics,CE - Colorado Rockies,CE - Oakland Athletics,N4 - Colorado Rockies,N4 - Oakland Athletics,G5 - Colorado Rockies,G5 - Oakland Athletics,VT - Colorado Rockies,VT - Oakland Athletics,AKB - Colorado Rockies,AKB - Oakland Athletics,BF - Colorado Rockies,BF - Oakland Athletics,MA - Colorado Rockies,MA - Oakland Athletics
1743904145.5747883,44,4/6,6/5,,,4/7,13/10,8/15,11/8,4/7,5/4,6/10,13/10,,,4/7,13/10,4/7,27/20,4/7,5/4,8/13,13/10,2/5,9/5,4/7,11/8,21/50,33/20,4/7,11/8,4/7,11/8,4/7,5/4,4/7,13/10,8/15,29/20,4/9,7/4,4/7,13/10,4/6,11/10,,,,,4/7,11/8,4/9,6/4,4/7,1/6
1743904175.5957363,45,4/6,6/5,,,4/7,13/10,8/13,6/5,4/6,21/20,6/10,13/10,,,4/7,13/10,4/7,27/20,4/6,11/10,7/10,23/20,4/11,37/20,8/13,5/4,21/50,33/20,8/13,5/4,8/13,5/4,4/6,11/10,4/7,13/10,1/2,29/20,10/19,29/20,4/7,11/8,4/6,11/10,,,,,8/13,5/4,4/9,8/5,4/7,1/6
1743904206.3261511,46,4/6,6/5,,,4/7,13/10,8/13,6/5,4/6,21/20,6/10,13/10,,,4/7,13/10,4/7,27/20,4/6,11/10,7/10,23/20,4/11,37/20,8/13,5/4,21/50,33/20,8/13,5/4,8/13,5/4,4/6,11/10,4/7,13/10,1/2,29/20,10/19,29/20,4/7,11/8,4/6,11/10,,,,,8/13,5/4,4/9,8/5,4/7,1/6
1743904237.4254556,47,4/6,6/5,,,4/7,13/10,8/13,6/5,4/6,21/20,6/10,13/10,,,3/5,13/10,4/7,27/20,4/6,11/10,7/10,23/20,4/11,37/20,8/13,5/4,21/50,33/20,8/13,5/4,8/13,5/4,4/6,11/10,4/7,13/10,8/11,11/10,1/2,31/20,4/7,13/10,4/6,11/10,,,,,8/13,5/4,4/7,7/5,4/7,1/6
1743904267.425584,48,4/6,6/5,,,4/7,13/10,8/13,6/5,4/6,21/20,8/15,29/20,,,3/5,13/10,4/7,27/20,4/6,11/10,7/10,23/20,13/25,11/8,8/13,5/4,3/5,6/5,8/13,5/4,8/13,5/4,4/6,11/10,13/25,7/5,8/13,6/5,1/2,31/20,4/7,11/8,4/6,11/10,,,,,8/13,5/4,4/7,7/5,4/7,1/6
1743904296.0330918,49,4/6,6/5,,,4/7,13/10,8/13,6/5,4/6,21/20,8/15,29/20,,,3/5,13/10,4/7,27/20,4/6,11/10,7/10,23/20,13/25,11/8,8/13,5/4,3/5,6/5,8/13,5/4,8/13,5/4,4/6,11/10,13/25,7/5,8/13,6/5,1/2,31/20,4/7,11/8,4/6,11/10,,,,,8/13,5/4,4/7,7/5,4/7,1/6
1743904325.2946203,50,4/6,6/5,,,1/2,6/4,1/2,6/4,1/2,7/5,40/85,13/8,,,10/21,13/8,8/15,29/20,8/13,6/5,4/7,29/20,4/9,31/20,1/2,6/4,3/5,6/5,8/15,29/20,8/13,13/10,8/15,11/8,12/25,31/20,4/7,13/10,5/8,5/4,11/20,7/5,8/15,7/5,,,,,8/15,29/20,8/15,13/10,4/7,1/6
1743904428.7585099,51,5/9,29/20,,,4/11,2,2/5,7/4,4/11,9/5,4/11,21/10,,,2/5,15/8,4/11,41/20,2/5,7/4,4/9,15/8,4/9,31/20,2/5,15/8,21/50,33/20,1/2,13/8,2/5,47/25,2/5,7/4,4/11,2,4/9,17/10,4/9,7/4,2/5,15/8,2/5,7/4,,,,,1/2,13/8,1/2,6/5,4/7,1/6
1743904459.8126998,52,5/9,29/20,,,4/11,2,2/5,7/4,4/11,9/5,2/5,15/8,,,4/11,2,4/11,41/20,2/5,7/4,4/9,15/8,4/9,31/20,2/5,15/8,21/50,33/20,2/5,15/8,2/5,47/25,2/5,7/4,2/5,37/20,4/9,17/10,4/9,7/4,4/11,2,2/5,7/4,,,,,2/5,47/25,4/9,1/100,4/7,1/6
1743904489.6410012,53,4/9,7/4,,,4/11,2,2/5,7/4,4/11,9/5,2/5,15/8,,,4/11,2,4/11,41/20,2/5,7/4,4/9,15/8,4/9,31/20,2/5,15/8,21/50,33/20,2/5,15/8,2/5,47/25,2/5,7/4,2/5,37/20,4/9,17/10,4/9,7/4,4/11,2,2/5,7/4,,,,,2/5,47/25,4/9,17/10,4/7,1/6
