timestamp,num,B3 - Toronto Blue Jays,B3 - New York Mets,SK - Toronto Blue Jays,SK - New York Mets,PP - Toronto Blue Jays,PP - New York Mets,WH - Toronto Blue Jays,WH - New York Mets,EE - Toronto Blue Jays,EE - New York Mets,FB - Toronto Blue Jays,FB - New York Mets,VC - Toronto Blue Jays,VC - New York Mets,LD - Toronto Blue Jays,LD - New York Mets,UN - Toronto Blue Jays,UN - New York Mets,SX - Toronto Blue Jays,SX - New York Mets,FR - Toronto Blue Jays,FR - New York Mets,KN - Toronto Blue Jays,KN - New York Mets,BY - Toronto Blue Jays,BY - New York Mets,OE - Toronto Blue Jays,OE - New York Mets,S6 - Toronto Blue Jays,S6 - New York Mets,PUP - Toronto Blue Jays,PUP - New York Mets,SI - Toronto Blue Jays,SI - New York Mets,LS - Toronto Blue Jays,LS - New York Mets,QN - Toronto Blue Jays,QN - New York Mets,WA - Toronto Blue Jays,WA - New York Mets,CE - Toronto Blue Jays,CE - New York Mets,N4 - Toronto Blue Jays,N4 - New York Mets,G5 - Toronto Blue Jays,G5 - New York Mets,VT - Toronto Blue Jays,VT - New York Mets,AKB - Toronto Blue Jays,AKB - New York Mets,BF - Toronto Blue Jays,BF - New York Mets,MA - Toronto Blue Jays,MA - New York Mets
1743904108.571881,48,10/39,29/10,,,1/9,5,4/7,6/4,1/11,51/10,1/10,11/2,,,1/3,11/5,1/12,13/2,1/10,11/2,1/9,23/4,1/10,5,1/7,9/2,1/8,17/4,4/9,7/4,4/9,7/4,1/10,11/2,1/12,23/4,1/10,5,1/8,5,4/7,11/8,1/12,11/2,,,,,4/9,7/4,1/4,23/10,1/8,509/100
1743904138.3051639,49,10/39,29/10,,,1/9,5,4/7,6/4,1/11,51/10,1/10,11/2,,,1/3,11/5,1/12,13/2,1/10,11/2,1/9,23/4,1/10,5,1/7,9/2,1/8,17/4,4/9,7/4,4/9,7/4,1/10,11/2,1/12,23/4,1/10,5,1/8,5,4/7,11/8,1/12,11/2,,,,,4/9,7/4,1/4,23/10,1/8,509/100
1743904168.0806298,50,10/39,29/10,,,1/9,5,4/7,6/4,1/10,19/4,1/10,5,,,1/3,11/5,1/12,13/2,1/10,11/2,1/9,23/4,1/14,11/2,1/6,4,1/8,17/4,4/9,7/4,4/9,7/4,1/10,11/2,1/10,5,1/8,19/4,1/8,5,4/7,11/8,1/10,5,,,,,4/9,7/4,1/100,441/100,1/8,509/100
1743904198.1993856,51,10/39,29/10,,,1/9,5,4/7,6/4,1/10,19/4,1/10,5,,,1/3,11/5,1/12,13/2,1/10,11/2,1/9,23/4,1/14,11/2,1/6,4,1/8,17/4,4/9,7/4,4/9,7/4,1/10,11/2,1/10,5,1/8,19/4,1/8,5,4/7,11/8,1/10,5,,,,,4/9,7/4,1/100,441/100,1/8,509/100
1743904229.1504352,52,10/39,29/10,,,1/12,6,4/7,6/4,1/12,11/2,11/8,4/7,,,2/15,9/2,1/14,7,1/12,6,1/9,23/4,1/10,5,11/8,4/7,1/8,17/4,4/9,7/4,4/9,7/4,1/12,6,1/14,13/2,29/20,1/2,1/12,13/2,1/8,5,1/12,11/2,,,,,4/9,7/4,1/100,441/100,1/8,2/13
1743904260.6958153,53,10/39,29/10,,,1/12,6,4/7,6/4,5/4,4/7,11/8,4/7,,,2/15,9/2,1/14,7,11/8,8/15,29/20,4/7,1/10,5,11/8,4/7,1/8,17/4,4/9,7/4,4/9,7/4,11/8,8/15,6/4,13/25,29/20,1/2,1/12,13/2,1/8,5,7/5,8/15,,,,,4/9,7/4,1/9,441/100,1/8,2/13
1743904290.9109502,54,10/39,29/10,,,1/12,6,4/7,6/4,7/5,1/2,11/8,4/7,,,2/15,9/2,31/20,13/25,11/8,8/15,29/20,4/7,1/14,11/2,11/8,4/7,1/8,17/4,4/9,7/4,4/9,7/4,11/8,8/15,6/4,13/25,29/20,1/2,1/12,13/2,1/8,5,7/5,8/15,,,,,4/9,7/4,1/9,2/11,1/8,1/2
1743904321.6341507,55,10/39,29/10,,,1/12,6,4/7,6/4,7/5,1/2,11/8,4/7,,,2/15,9/2,31/20,13/25,11/8,8/15,29/20,4/7,1/14,11/2,11/8,4/7,1/8,17/4,4/9,7/4,4/9,7/4,11/8,8/15,6/4,13/25,29/20,1/2,29/20,10/19,1/8,5,7/5,8/15,,,,,4/9,7/4,1/9,441/100,6/5,1/2
1743904352.2399507,56,29/10,10/39,,,4/7,13/10,6/4,4/7,1/2,7/5,4/7,11/8,,,9/2,2/15,13/25,31/20,8/15,11/8,4/7,29/20,12/25,29/20,2/5,7/4,17/4,1/8,7/4,4/9,7/4,4/9,8/15,11/8,13/25,6/4,1/2,29/20,10/19,29/20,5,1/8,8/15,7/5,,,,,7/4,4/9,1/2,1/100,1/2,23/20
1743904381.9681892,57,29/10,10/39,,,4/7,13/10,6/4,4/7,1/2,7/5,4/7,11/8,,,9/2,2/15,13/25,31/20,8/15,11/8,4/7,29/20,12/25,29/20,4/7,11/8,17/4,1/8,7/4,4/9,7/4,4/9,8/15,11/8,13/25,6/4,1/2,29/20,10/19,29/20,5,1/8,8/15,7/5,,,,,7/4,4/9,441/100,1/9,1/2,23/20
1743904408.037195,58
1743904438.6528206,59,29/10,10/39,,,4/7,13/10,6/4,4/7,1/2,7/5,4/7,11/8,,,3/5,13/10,13/25,31/20,8/15,11/8,4/7,29/20,12/25,29/20,4/7,11/8,1/2,7/5,4/7,11/8,4/7,11/8,8/15,11/8,11/20,27/20,1/2,29/20,10/19,29/20,4/7,11/8,8/15,7/5,,,,,4/7,11/8,8/15,7/5,1/2,23/20
